# TM / BL site classification inventory for typst/FormalFoundations.typ
# Generated for task 607, Phase 2. Verdicts: TM (paper system, formerly written op("TM")^+ /
# #BLplus), TMminus (repository-only #BL-level system, formerly bare "TM" / #BL), L (paper
# language #BLplus, macro rename target #BL), Lminus (repository-only #BL language, macro
# rename target #BLminus), macro (a macro `#let` binding itself, not a use site), keep (no
# semantic verdict needed -- applies uniformly / typesetting directive).
#
# Actual grep totals at inventory time (occurrence counts, -o):
#   whole-word `TM` (prose, includes occurrences inside op("TM") since quotes are non-word chars): 114
#   op("TM")^+ (including subscripted forms, substring count): 46
#   op("TM")_x without ^+ (subscripted, substring count): 29
#   #BL (whole word, excludes #BLplus): 13
#   #BLplus: 15
#   "BL" (string literal, used only in the two macro `#let` bindings): 2
# Row granularity: ONE ROW PER LINE (not per occurrence) -- distinct occurrences on the same
# line overwhelmingly share one verdict story; where a line mixes both TM and TM^+ (a deliberate
# contrast sentence), the excerpt/reason records the split explicitly and Phase 4 edits both
# halves per this row's reason. Union of all pattern-matched lines: 96 lines (see raw-*.txt and
# tm-union.tsv in this same directory for the machine-generated source lists this file was
# built from).
line	section	pattern	excerpt	verdict	reason
3	(header)	TMprose	// Formal Foundations of Bimodal TM Logic: Completeness and Representation	TM	Title comment; paper's TM.
6	(header)	TMprose	// TM, in five sections: the system (semantics first, then the proof systems);	TM	Title comment; paper's TM.
41	(header)	TMprose	title: "Formal Foundations of Bimodal TM Logic: Completeness and Representation",	TM	Document title metadata; paper's TM.
62	(header)	TMprose	// Automatically bold "TM" throughout the document, matching the book.	keep	Typesetting directive comment, applies to the literal string "TM" uniformly; not a site-specific system reference.
63	(header)	TMprose	#show "TM": strong	keep	Typesetting directive itself (bolds every literal "TM"); mechanical, no rename.
85	(macro block)	macro	#let BL = $op("BL")$	macro	Phase 3 task 1: rename this binding's NAME to `BLminus` (keep body `op("BL")^-`per plan: "#let BLminus = $op(\"BL\")^-$"). Must be renamed FIRST, before the BLplus rename below, to avoid a merge collision.
86	(macro block)	macro	#let BLplus = $op("BL")^+$	macro	Phase 3 task 1: rename this binding's NAME to `BL` (keep body as `op("BL")` per plan: "#let BL = $op(\"BL\")$"). Must be renamed SECOND (after line 85's rename), so the old `BL` name is already vacated.
107	(header)	TMprose	#text(...)[Formal Foundations of Bimodal TM Logic]	TM	Cover title; paper's TM.
121	(header)	TMprose	*Abstract.* This report states what is proved about the bimodal logic *TM* --- a fusion of S5	TM	Abstract; paper's TM (the document's own subject).
133	(header)	TMprose	theorem for *TM*: every *TM*-algebra embeds, point-completely, into a product of complex	TM	Abstract's Representation Theorem summary; matches def:("TM-algebra") = op("TM")^+-algebra, i.e. paper's TM.
136	(header)	TMprose	the *TM*-algebras. Complexity as distinct from	TM	Abstract, same as above.
154	The Language	L(BLplus)	$#BLplus := chevron.l ...$, where	L	Language definition itself; macro token, mechanical BLplus->BL rename (Phase 3).
163	The Language	L(BLplus)	footnote: "The paper's base language $#BL$ takes ... $#allpast$/$#allfuture$ as primitive instead; it embeds into $#BLplus$..."	Lminus+prose-fix	Phase 3 task 4 explicitly names this footnote. Macro tokens rename mechanically (#BL->#BLminus, #BLplus->#BL), but the SENTENCE must also change: post-rename this is NOT "the paper's base language" -- it is the repository's own L^- (H/G primitive), with no paper counterpart. Rewrite to state that explicitly.
