id	chunks_read	verdict	proposed_provenance_fidelity	doc_type_evidence	disagreement_with_research
brics-rs-96-35	chunk_0001.md, chunk_0019.md	Title/copyright page reads cleanly; middle chunk (Lemma 6, left-Kan-extension refinement argument) has fully coherent prose and intact math notation (theta, category symbols render correctly). No letter-substitution or dropped-symbol artifacts found.	verified_conversion	Series line "BRICS Report Series RS-96-35, ISSN 0909-0878, October 1996, Copyright BRICS, Department of Computer Science" -- BRICS technical report.	None -- matches research's "sampled clean" classification.
brics-rs-94-7	chunk_0002.md, chunk_0038.md	chunk_0001 is a thin title fragment (author name only); chunk_0002 carries the full title-page block. Middle chunk (zig-zag/bisimulation morphism argument) reads coherently; commutative-diagram ASCII rendering is garbled (expected artifact of PDF-to-text extraction of diagrams, not prose corruption) but the surrounding prose sentences are intact and well-formed.	verified_conversion	Series line "BRICS Report Series RS-94-7, ISSN 0909-0878, May 1994, Copyright BRICS, Department of Computer Science"; authors Andre Joyal, (Mogens Nielsen), Glynn Winskel -- BRICS technical report.	None -- matches research's "sampled clean" classification.
cattani-winskel-2005-profunctors	chunk_0001.md, chunk_0064.md	Title page reads cleanly ("BRICS RS-04-22 Cattani & Winskel: Profunctors, Open Maps and Bisimulation"). Middle chunk (co-Kleisli bicategory / open-map bisimulation argument, Section 8 "Lifting and connected colimits") has fully coherent prose and intact categorical notation.	verified_conversion	Title page: "BRICS RS-04-22 Cattani & Winskel: Profunctors, Open Maps and Bisimulation" -- a BRICS technical report (id year 2005 likely reflects the later journal/TCS publication of the same BRICS report; noted for Phase 4, not resolved here).	None -- matches research's "sampled clean" classification.
schultz-spivak-temporal-type-theory	chunk_0001.md, chunk_0118.md	Opening chunk (Chapter 1 "Introduction", 1.1 Overview, behavior types) reads perfectly coherently. Middle chunk (Section 6.2, coherent formulas / Proposition 6.3 semantics argument) also reads perfectly coherently with intact type-theoretic notation.	verified_conversion	Explicit self-reference "In this book we provide a new mathematical formalism..." and chapter numbering ("Chapter 1", "Chapter 6 Semantics and soundness") -- this is the book itself, not an excerpted chapter.	None -- matches research's "sampled clean" classification.
fong-speranzon-spivak-temporal-landscapes	chunk_0001.md, chunk_0015.md	Title/abstract chunk reads perfectly coherently. Middle chunk (Section 4.2, free/occupied cells) has coherent prose; the figure (temporal-landscape diagram) renders as degraded ASCII art, an expected artifact of extracting a vector figure to text, not a prose-corruption signal.	verified_conversion	Title block: "Temporal Landscapes: A Graphical Logic of Behavior", authors Brendan Fong, Alberto Speranzon, David I. Spivak (Topos Institute / Honeywell Aerospace / MIT LIDS); running page number "282" (proceedings-style pagination) -- a conference/journal paper.	None -- matches research's "sampled clean" classification.
schultz-spivak-vasilakopoulou-dynamical-systems-sheaves	chunk_0001.md, chunk_0022.md	Title/abstract chunk reads perfectly coherently, including the arXiv identifier line. Middle chunk (Section 4.1, continuous machines / span definition) reads perfectly coherently with intact categorical notation.	verified_conversion	Explicit "arXiv:1609.08086v4 [math.CT] 15 Mar 2019" identifier and running header "DYNAMICAL SYSTEMS AND SHEAVES" with page number "30" -- an arXiv preprint paper.	None -- matches research's "sampled clean" classification.
thomason-1970-indeterminist-time	chunk_0001.md, chunk_0002.md, chunk_0005.md, chunk_0010.md, chunk_0020.md, chunk_0030.md, chunk_0038.md, chunk_0050.md, chunk_0060.md, chunk_0070.md	RECLASSIFIED FROM CLEAN TO DEGRADED on hand read. Genuine OCR letter-substitution errors found ("unadomed" for "unadorned" -- an rn-to-m misread, the same OCR-engine artifact family documented for rutten-2000-universal-coalgebra's "mnning"/"detenninistic"; "Priér" for "Prior" -- a proper-name misread in a footnote citing Priér [3], almost certainly A.N. Prior). Two-column journal layout is extracted with columns interleaved rather than read in order (chunk_0010, chunk_0060, chunk_0070 show left-column and right-column text alternating mid-sentence), which degrades readability further though the underlying columns are individually followable. Semantic-value-function notation (V_i(A), V_i(G), etc.) is heavily garbled throughout ("Vi~ A)=Tif Vi(A)=F", "V&(P)") -- formula/subscript corruption comparable in severity to the two entries the research flagged as OCR-degraded. Overall meaning is recoverable with effort but this is not a clean conversion.	unverified_conversion	Journal citation "INDETERMINIST TIME AND TRUTH-VALUE GAPS 265" (opening page number) and later "Theoria, 3:1970" plus running header "266 RICHMOND H. THOMASON / INDETERMINIST TIME AND TRUTH-VALUE GAPS 267" -- a Theoria (1970) journal article, author Richmond H. Thomason.	DISAGREES with research's "sampled clean" classification. The implementer's own read found this entry shows real OCR degradation (rn/m letter-substitution, proper-name misread, heavy formula corruption, column interleaving) of a severity comparable to the two entries the research separately flagged as degraded. Per the plan's Scope Hypothesis for Phase 2 ("an entry that reads as degraded moves to a degraded verdict here rather than being forced into a clean stamp"), this entry is recorded here as the third degraded entry rather than silently absorbed into the clean bucket. It remains in this Phase 2 file per the plan's stated contingency ("that entry's verdict stays in Phase 2's file and this phase's count is recorded as having grown") rather than being moved into Phase 3's file.
jacobs-coalgebra-intro-draft	chunk_0001.md, chunk_0002.md, chunk_0003.md, chunk_0004.md, chunk_0724.md	Opening chunks show a repeated "FT" token (chunk_0001) and "RA" token (chunk_0002) floating in isolation on otherwise-blank lines, alongside "(Please check the latest version on the web first," (chunk_0003) and "Version 2.00, September..." (chunk_0004). Confirmed this is a diagonal "DRAFT" watermark whose text extracted as broken fragments ("RA" + "FT", consistent with "D-RA-FT" splitting across watermark-rendering passes) rather than genuine content corruption -- it appears only in the front-matter chunks, never recurring in body-text chunks. Middle chunk 0724 (Chapter 4, finitary functor lemma) reads perfectly coherently with intact categorical notation and no watermark artifacts.	verified_conversion	"Version 2.00, September..." front matter and "(Please check the latest version on the web first...)" -- explicitly a work-in-progress draft, not a finished/published book.	None on cleanliness. Confirms (per Phase 2's specific task item) that the repeated "FT" token the research observed is a watermark/footer artifact, not genuine content corruption.
danos-krivine-rccs	chunk_0001.md, chunk_0016.md	Citation/cover chunk reads cleanly (HAL repository citation block). Middle chunk (memory-indexed process definition, synchronization rules) reads perfectly coherently with intact process-calculus notation (labelled transition rules, substitution operators).	verified_conversion	HAL citation block: "Vincent Danos, Jean Krivine. Reversible Communicating Systems. CONCUR, 2004, Londres, United Kingdom. pp.292-307. <hal-00784051>" -- a CONCUR 2004 conference paper.	None -- matches research's "sampled clean" classification.
rumberg-zanardo-2019-transition-structures	chunk_0001.md, chunk_0002.md, chunk_0005.md, chunk_0010.md, chunk_0020.md, chunk_0030.md, chunk_0035.md	Title/author chunk reads cleanly; full bibliographic header appears in chunk_0002. Body chunks (Introduction, Preliminaries, Index Structures Section 4, Section 6 first-order definability, Section 7 bundled structures) all read as fully coherent, well-formed English prose throughout. The only degradation found is systematic dropping of a small number of special relation-symbol glyphs in formal definitions (e.g. "a quadruple W = W , , ~, " where an ordering-relation symbol fails to render, and "symbols for , ~, " in Section 6) -- consistent with a born-digital (not scanned/OCR'd) PDF whose custom math font glyphs did not map to Unicode on extraction, not with letter-level OCR misreading. Prose is unaffected; only isolated formula symbols are lost.	unverified_conversion	Full bibliographic header: "Journal of Logic, Language and Information (2019) 28:459-488, https://doi.org/10.1007/s10849-018-9276-4, First-Order Definability of Transition Structures, Antje Rumberg / Alberto Zanardo, Published online: 14 December 2018" -- a Journal of Logic, Language and Information (2019) article.	None on cleanliness classification, but the implementer independently confirms the research's Zotero-locatable-PDF finding is grounded: this is the same title/author/year as the Zotero record cross-referenced in Decision 1.
rutten-2000-universal-coalgebra	chunk_0001.md, chunk_0002.md, chunk_0010.md, chunk_0025.md, chunk_0050.md, chunk_0100.md, chunk_0200.md, chunk_0300.md	Prose meaning IS recoverable throughout despite pervasive OCR degradation, but degradation is genuinely severe and NOT confined to formulas -- it pervades ordinary prose and even the running header/author line. Quoted excerpts: "GB A111.vterdu111. Netherland.1" for "GB Amsterdam. Netherlands." (chunk_0002, address line); "coafgehras" for "coalgebras" and "i1~fini1e" for "infinite" (chunk_0002, abstract); "Leethre Notes" for "Lecture Notes" (chunk_0002); "Rutt<'n I T'1<'t1rt•tirnl C11111p111cr Sd1•111'<'" for "Rutten / Theoretical Computer Science" (chunk_0010, running header -- essentially unreadable without prior knowledge of the venue); "Fonnally" for "Formally" (chunk_0050, an rn-to-m misread); "pullhucks"/"pullhacks" for "pullbacks" and "Serr" for "Set" (chunk_0100); "d!eveloped" for "developed" (chunk_0300). Notation degradation (chunk_0200's transition-arrow diagrams) is confined mostly to symbol rendering, consistent with the research's finding, but the prose-level degradation is broader and more severe than the research's four-chunk sample (0005/0020/0040/0060) suggested -- this read independently confirms and somewhat extends the research's finding rather than overturning it.	unverified_conversion	Header block: "Theoretical Computer Science 249 (2000) 3-80, ELSEVIER, www.elsevier.com/locate/tcs" and author line "J.J.M.M. Rutten" -- a Theoretical Computer Science (2000) journal article.	Confirms research's OCR-degraded classification; independently sampled a broader, partly-overlapping chunk spread (0001/0002/0010/0025/0050/0100/0200/0300 vs. research's 0005/0020/0040/0060) and found the degradation more pervasive across ordinary prose than the research description implied, not confined to isolated symptom points.
